row_no,machine_id,status,reason,detail
478,4256,skipped,status_not_ready,status_not_ready
479,4263,skipped,status_not_ready,status_not_ready
480,4255,skipped,status_not_ready,status_not_ready
481,4233,skipped,status_not_ready,status_not_ready
482,4219,skipped,status_not_ready,status_not_ready
483,4220,skipped,status_not_ready,status_not_ready
484,4221,skipped,status_not_ready,status_not_ready
485,4226,skipped,status_not_ready,status_not_ready
486,4197,skipped,status_not_ready,status_not_ready
487,4232,skipped,status_not_ready,status_not_ready
488,4198,skipped,status_not_ready,status_not_ready
489,4206,skipped,status_not_ready,status_not_ready
490,4213,skipped,status_not_ready,status_not_ready
491,4195,skipped,status_not_ready,status_not_ready
492,4218,skipped,status_not_ready,status_not_ready
493,4208,skipped,status_not_ready,status_not_ready
494,4207,skipped,status_not_ready,status_not_ready
495,4214,skipped,status_not_ready,status_not_ready
496,4200,skipped,status_not_ready,status_not_ready
497,4224,skipped,status_not_ready,status_not_ready
498,4228,skipped,status_not_ready,status_not_ready
499,4187,skipped,status_not_ready,status_not_ready
500,4204,skipped,status_not_ready,status_not_ready
501,4216,skipped,status_not_ready,status_not_ready
502,4184,skipped,status_not_ready,status_not_ready
503,4177,skipped,status_not_ready,status_not_ready
504,4185,skipped,status_not_ready,status_not_ready
505,4170,skipped,status_not_ready,status_not_ready
506,4172,skipped,status_not_ready,status_not_ready
507,4186,skipped,status_not_ready,status_not_ready
508,4190,skipped,status_not_ready,status_not_ready
509,4199,skipped,status_not_ready,status_not_ready
510,4194,skipped,status_not_ready,status_not_ready
511,4180,skipped,status_not_ready,status_not_ready
512,4189,skipped,status_not_ready,status_not_ready
513,4168,skipped,status_not_ready,status_not_ready
514,4165,skipped,status_not_ready,status_not_ready
515,4179,skipped,status_not_ready,status_not_ready
516,4175,skipped,status_not_ready,status_not_ready
517,4142,skipped,status_not_ready,status_not_ready
518,4176,skipped,status_not_ready,status_not_ready
519,4159,skipped,status_not_ready,status_not_ready
520,4169,skipped,status_not_ready,status_not_ready
521,4158,skipped,status_not_ready,status_not_ready
522,4166,skipped,status_not_ready,status_not_ready
523,4152,skipped,status_not_ready,status_not_ready
524,4167,skipped,status_not_ready,status_not_ready
525,4174,skipped,status_not_ready,status_not_ready
526,4181,skipped,status_not_ready,status_not_ready
527,4149,skipped,status_not_ready,status_not_ready
528,4151,skipped,status_not_ready,status_not_ready
529,4138,skipped,status_not_ready,status_not_ready
530,4144,skipped,status_not_ready,status_not_ready
531,4141,skipped,status_not_ready,status_not_ready
532,4148,skipped,status_not_ready,status_not_ready
533,4153,skipped,status_not_ready,status_not_ready
534,4155,skipped,status_not_ready,status_not_ready
535,4161,skipped,status_not_ready,status_not_ready
536,4136,skipped,status_not_ready,status_not_ready
537,4143,skipped,status_not_ready,status_not_ready
538,4147,skipped,status_not_ready,status_not_ready
539,4121,skipped,status_not_ready,status_not_ready
540,4123,skipped,status_not_ready,status_not_ready
541,4130,skipped,status_not_ready,status_not_ready
542,4124,skipped,status_not_ready,status_not_ready
543,4126,skipped,status_not_ready,status_not_ready
544,4110,skipped,status_not_ready,status_not_ready
545,4133,skipped,status_not_ready,status_not_ready
546,4139,skipped,status_not_ready,status_not_ready
547,4135,skipped,status_not_ready,status_not_ready
548,4154,skipped,status_not_ready,status_not_ready
549,4106,skipped,status_not_ready,status_not_ready
550,4109,skipped,status_not_ready,status_not_ready
551,4115,skipped,status_not_ready,status_not_ready
552,4118,skipped,status_not_ready,status_not_ready
553,4112,skipped,status_not_ready,status_not_ready
554,4077,skipped,status_not_ready,status_not_ready
555,4111,skipped,status_not_ready,status_not_ready
556,4125,skipped,status_not_ready,status_not_ready
557,4113,skipped,status_not_ready,status_not_ready
558,4094,skipped,status_not_ready,status_not_ready
559,4103,skipped,status_not_ready,status_not_ready
560,4086,skipped,status_not_ready,status_not_ready
561,4091,skipped,status_not_ready,status_not_ready
562,4104,skipped,status_not_ready,status_not_ready
563,4069,skipped,status_not_ready,status_not_ready
564,4090,skipped,status_not_ready,status_not_ready
565,4096,skipped,status_not_ready,status_not_ready
566,4081,skipped,status_not_ready,status_not_ready
567,4087,skipped,status_not_ready,status_not_ready
568,4088,skipped,status_not_ready,status_not_ready
569,4099,skipped,status_not_ready,status_not_ready
570,4078,skipped,status_not_ready,status_not_ready
571,4102,skipped,status_not_ready,status_not_ready
572,4101,skipped,status_not_ready,status_not_ready
573,4108,skipped,status_not_ready,status_not_ready
574,4082,skipped,status_not_ready,status_not_ready
575,4076,skipped,status_not_ready,status_not_ready
576,4095,skipped,status_not_ready,status_not_ready
0,4975,exported,,
0,4942,exported,,
0,4971,exported,,
0,4969,exported,,
0,4972,exported,,
0,4954,exported,,
0,4966,exported,,
0,4968,exported,,
